backend,model,hardware,avg_tok_s,stddev,avg_ttft_s,completion_tokens
mlx,Qwen3-0.6B-4bit,GPU-ROCm,151.2,0.1,0,200
mlx,Qwen3-1.7B-4bit,GPU-ROCm,66.4,0.0,0,200
mlx,Qwen3-4B-4bit,GPU-ROCm,46.9,0.0,0,200
mlx,Qwen3-8B-4bit,GPU-ROCm,21.7,0.0,0,200
mlx,Phi-4-mini-4bit,GPU-ROCm,38.3,0.0,0,200
prism,Qwen3-Coder-Next-TQ1_0,GPU-Vulkan,65.6,0.8,0.152,256
lemond,Qwen3-0.6B-FLM,NPU-FLM,94.4,0.2,0.455,256
lemond,Qwen3-8B-FLM,NPU-FLM,10.8,0.0,1.278,256
lemond,Llama-3.2-1B-FLM,NPU-FLM,61.7,0.2,0.379,256
lemond,Llama-3.2-3B-FLM,NPU-FLM,24.9,0.0,0.769,256
lemond,Gemma3-1B-FLM,NPU-FLM,38.9,0.0,0.529,256
vllm,Qwen3-0.6B,GPU-ROCm,130.6,0.6,0,256
vllm,Qwen3-1.7B,GPU-ROCm,47.1,0.2,0,256
vllm,Qwen3-4B-AWQ,GPU-ROCm,41.5,0.1,0,256
vllm,Phi-4-mini,GPU-ROCm,24.9,0.0,0,256
vllm,Qwen3-8B-AWQ,GPU-ROCm,22.3,0.1,0,256
